case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,segment_status,method,note,detection_window,detection_hop,refined_after_min_idx_violation,initial_idx_exit_start,initial_detection_window,initial_detection_hop,time,DOC,feed,material,material_name,VB
1,1,smcDC,7054,7054,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7054,180,16,2,1.5,0.5,1,cast_iron,0.0
1,2,smcDC,7246,7246,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7246,180,16,4,1.5,0.5,1,cast_iron,
1,3,smcDC,7246,7246,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7246,180,16,6,1.5,0.5,1,cast_iron,
1,4,smcDC,7150,7150,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7150,180,16,7,1.5,0.5,1,cast_iron,0.11
1,5,smcDC,7406,7406,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7406,180,16,11,1.5,0.5,1,cast_iron,
1,6,smcDC,7358,7358,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7358,180,16,15,1.5,0.5,1,cast_iron,0.2
1,7,smcDC,6670,6670,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,6670,180,16,19,1.5,0.5,1,cast_iron,0.24
1,8,smcDC,7374,7374,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7374,180,16,22,1.5,0.5,1,cast_iron,0.29
1,9,smcDC,7294,7294,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7294,180,16,26,1.5,0.5,1,cast_iron,0.28
1,10,smcDC,7240,7240,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_level_drop_with_no_tail_kurtosis_cluster,180,16,False,7240,180,16,29,1.5,0.5,1,cast_iron,0.29
1,11,smcDC,7350,7350,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_level_drop_with_no_tail_kurtosis_cluster,180,16,False,7350,180,16,32,1.5,0.5,1,cast_iron,0.38
1,12,smcDC,7838,7838,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7838,180,16,35,1.5,0.5,1,cast_iron,0.4
1,13,smcDC,7614,7614,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7614,180,16,38,1.5,0.5,1,cast_iron,0.43
1,14,smcDC,7534,7534,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7534,180,16,41,1.5,0.5,1,cast_iron,0.45
1,15,smcDC,7646,7646,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7646,180,16,44,1.5,0.5,1,cast_iron,0.5
1,16,smcDC,7406,7406,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7406,180,16,46,1.5,0.5,1,cast_iron,
1,17,smcDC,7370,7370,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_level_drop_with_no_tail_kurtosis_cluster,180,16,False,7370,180,16,48,1.5,0.5,1,cast_iron,0.44
2,1,smcDC,9000,9000,9000,False,0.0,abnormal_run,reverse_rolling_kurtosis_std_level_v4,manual_abnormal_run_excluded_from_exit_audit,180,16,False,9000,180,16,3,0.75,0.5,1,cast_iron,0.08
2,2,smcDC,7294,7294,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7294,180,16,9,0.75,0.5,1,cast_iron,0.14
2,3,smcDC,6846,6846,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,6846,180,16,12,0.75,0.5,1,cast_iron,0.14
2,4,smcDC,7390,7390,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7390,180,16,15,0.75,0.5,1,cast_iron,0.14
2,5,smcDC,7278,7278,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7278,180,16,22,0.75,0.5,1,cast_iron,0.15
2,6,smcDC,7182,7182,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7182,180,16,24,0.75,0.5,1,cast_iron,
2,7,smcDC,7246,7246,9000,True,1.0,normal_exit,reverse_rolling_kurtosis_std_level_v4,reverse_rolling_kurtosis_tail_to_steady_level_validated,180,16,False,7246,180,16,27,0.75,0.5,1,cast_iron,0.18
