case,run,idx_noload_end,idx_start,idx_end,index_fixed,signal_length,status,note,time,DOC,feed,material_name,updated_at
1,1,1307,1921,7069,6017,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",2,1.5,0.5,cast_iron,2026-04-30T20:36:26.189785+09:00
1,2,1209,3489,7489,7489,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",4,1.5,0.5,cast_iron,2026-06-08T20:13:39.470344+09:00
1,3,953,3274,7274,7274,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",6,1.5,0.5,cast_iron,2026-06-08T20:13:39.879660+09:00
1,4,784,1073,6096,5169,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",7,1.5,0.5,cast_iron,2026-04-30T20:36:26.235829+09:00
1,5,1112,2342,6342,6342,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",11,1.5,0.5,cast_iron,2026-06-08T20:13:40.282946+09:00
1,6,1037,1333,7476,5429,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",15,1.5,0.5,cast_iron,2026-04-30T20:36:26.283724+09:00
1,7,942,1296,7354,5392,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",19,1.5,0.5,cast_iron,2026-04-30T20:36:26.329403+09:00
1,8,985,1102,7455,5198,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",22,1.5,0.5,cast_iron,2026-04-30T20:36:26.374766+09:00
1,9,937,1248,7365,5344,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",26,1.5,0.5,cast_iron,2026-04-30T20:36:26.420829+09:00
1,10,688,775,7216,4871,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",29,1.5,0.5,cast_iron,2026-04-30T20:36:26.468772+09:00
1,11,897,1298,7341,5394,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",32,1.5,0.5,cast_iron,2026-04-30T20:36:26.518073+09:00
1,12,1351,1611,7917,5707,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",35,1.5,0.5,cast_iron,2026-04-30T20:36:26.567238+09:00
1,13,1121,1826,7705,5922,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",38,1.5,0.5,cast_iron,2026-04-30T20:36:26.615100+09:00
1,14,1085,1186,7631,5282,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",41,1.5,0.5,cast_iron,2026-04-30T20:36:26.666114+09:00
1,15,996,1619,7673,5715,9000,labeled,"auto_heuristic(sensor=smcDC,window=64,stride=1,noload<=3000,steady_end>=6000)",44,1.5,0.5,cast_iron,2026-04-30T20:36:26.711552+09:00
