case,run,idx_noload_end,idx_start,idx_end,index_fixed,signal_length,status,note,time,DOC,feed,material_name,updated_at
1,1,1179,3466,7466,7466,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",2,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,4,696,1419,5419,5419,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",7,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,6,940,1842,5842,5842,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",15,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,7,841,3564,7564,7564,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",19,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,8,882,1590,5590,5590,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",22,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,9,839,1622,5622,5622,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",26,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,10,588,2963,6963,6963,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",29,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,11,793,3025,7025,7025,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",32,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,12,1259,3683,7683,7683,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",35,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,13,1019,3332,7332,7332,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",38,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,14,982,3105,7105,7105,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",41,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,15,908,3328,7328,7328,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",44,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
1,17,633,2962,6962,6962,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",48,1.5,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
2,2,829,3223,7223,7223,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",9,0.75,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
2,3,365,1817,5817,5817,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",12,0.75,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
2,4,993,2508,6508,6508,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",15,0.75,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
2,5,857,1348,5348,5348,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",22,0.75,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
2,7,783,3034,7034,7034,9000,labeled,"peng2026_inspired(sensor=vib_table,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=4000,merge_gap=32,fallback=False)",27,0.75,0.5,cast_iron,2026-05-18T14:53:37.185444+09:00
