case,run,idx_noload_end,idx_start,idx_end,index_fixed,signal_length,status,note,time,DOC,feed,material_name,updated_at,idx_exit_start,has_exit,exit_confidence,idx_end_peng,exit_source
1,1,1286,2639,7472,7639,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",2,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7472,True,1.167845294070574,7639,reverse_kurtosis_vib_table
1,2,1209,2554,7456,7554,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",4,1.5,0.5,cast_iron,2026-06-08T20:13:39.635360+09:00,7456,True,1.347368060629647,7554,reverse_kurtosis_vib_table
1,3,953,2295,9000,7295,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",6,1.5,0.5,cast_iron,2026-06-08T20:13:40.041038+09:00,9000,False,0.9067176010390734,7295,reverse_kurtosis_vib_table
1,4,760,2224,8576,7224,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",7,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8576,True,3.2676431875876055,7224,reverse_kurtosis_vib_table
1,5,1112,2496,7456,7496,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",11,1.5,0.5,cast_iron,2026-06-08T20:13:40.439917+09:00,7456,True,1.0470917989776651,7496,reverse_kurtosis_vib_table
1,6,1004,2448,8560,7448,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",15,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8560,True,1.1652240757811618,7448,reverse_kurtosis_vib_table
1,7,902,2375,8592,7375,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",19,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8592,True,1.6813100249876398,7375,reverse_kurtosis_vib_table
1,8,944,2165,8496,7165,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",22,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8496,True,4.109390424495862,7165,reverse_kurtosis_vib_table
1,9,903,2060,8368,7060,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",26,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8368,True,1.1848841183473655,7060,reverse_kurtosis_vib_table
1,10,645,1689,8336,6689,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",29,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8336,True,6.253401994227344,6689,reverse_kurtosis_vib_table
1,11,854,1691,8576,6691,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",32,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8576,True,1.6358257855584606,6691,reverse_kurtosis_vib_table
1,12,1316,2119,9000,7119,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",35,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,9000,False,0.9220584111645684,7119,reverse_kurtosis_vib_table
1,13,1078,1810,8576,6810,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",38,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8576,True,1.9474085231756122,6810,reverse_kurtosis_vib_table
1,14,1046,1769,8432,6769,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",41,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8432,True,1.1466273772870277,6769,reverse_kurtosis_vib_table
1,15,956,1604,8384,6604,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",44,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8384,True,1.2414896740697956,6604,reverse_kurtosis_vib_table
1,16,880,1580,9000,6580,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",46,1.5,0.5,cast_iron,2026-06-08T20:13:40.861079+09:00,9000,False,0.9387182271521423,6580,reverse_kurtosis_vib_table
1,17,689,1317,9000,6317,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",48,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,9000,False,0.9103059383987165,6317,reverse_kurtosis_vib_table
2,2,912,2385,8576,7385,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=4.5,target_length=5000,merge_gap=32,fallback=False)",9,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8576,True,3.1902984806430106,7385,reverse_kurtosis_vib_table
2,3,459,1938,8128,6938,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=3.0,target_length=5000,merge_gap=32,fallback=False)",12,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8128,True,2.916279145628582,6938,reverse_kurtosis_vib_table
2,4,1067,2489,9000,7489,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=3.5,target_length=5000,merge_gap=32,fallback=False)",15,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,9000,False,0.8049799403049466,7489,reverse_kurtosis_vib_table
2,5,932,2354,8464,7354,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",22,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8464,True,1.7458398531159647,7354,reverse_kurtosis_vib_table
2,6,840,2249,8560,7249,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",24,0.75,0.5,cast_iron,2026-06-08T20:13:41.286691+09:00,8560,True,1.2321165074636882,7249,reverse_kurtosis_vib_table
2,7,848,2165,8352,7165,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",27,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8352,True,2.141696479825796,7165,reverse_kurtosis_vib_table
