case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,AE_spindle,7824,7824,9000,True,1.494184033082619,1.2694596484591638,0.8496005982868621,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,AE_spindle,7968,7968,9000,True,2.2609382657415735,2.3629984012226126,1.0451406113228408,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,AE_spindle,8000,8000,9000,True,3.7344528990034473,4.228691906420195,1.132345760083064,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,AE_spindle,5968,5968,9000,True,2.186647646478191,2.4792502812585835,1.1338133444816638,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,AE_spindle,7712,7712,9000,True,4.595797163786441,4.768986897493779,1.0376843728151073,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,AE_spindle,9000,9000,9000,False,0.9712555102837263,1.0590897764395701,1.0904337378011004,no_exit,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,AE_spindle,7344,7344,9000,True,1.2811775468680247,2.2429600809864905,1.7507019901093057,ok,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,AE_spindle,7568,7568,9000,True,2.8096612090440143,4.4647854557066955,1.5890832109338286,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,AE_spindle,7472,7472,9000,True,1.6120047860646076,2.274338220510186,1.4108756004756802,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,AE_spindle,8544,8544,9000,True,10.461312326092001,22.850572424386414,2.1842931089423048,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,AE_spindle,7472,7472,9000,True,6.106741118879081,19.48254575118316,3.190334316112807,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
1,12,AE_spindle,7760,7760,9000,True,1.2459612451790634,1.71473614875784,1.3762355413471634,ok,reverse_kurtosis_sensor_source,256,16,35,1.5,0.5,1,cast_iron,0.4
