case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,AE_table,7728,7728,9000,True,2.0157399884704876,2.4129308833364416,1.1970447067259504,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,AE_table,6704,6704,9000,True,1.2025650116486395,1.4013328459291117,1.1652865602723395,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,AE_table,7056,7056,9000,True,1.525014657690889,2.2028270250560853,1.4444628541406843,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,AE_table,7280,7280,9000,True,2.299193874801846,3.9999528623359333,1.73971969313739,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,AE_table,6384,6384,9000,True,1.2316285970442484,1.5134565314125918,1.2288254227317088,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,AE_table,7136,7136,9000,True,1.2887026343961738,1.6900377645635951,1.311425707881927,ok,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,AE_table,7200,7200,9000,True,2.2379746703046677,3.6393446781849126,1.6261777787177685,ok,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,AE_table,7760,7760,9000,True,1.3548469959839575,2.0413956615488673,1.506735201538347,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,AE_table,8592,8592,9000,True,1.3967649584820694,2.8682724470885175,2.0535111721332187,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,AE_table,8512,8512,9000,True,8.102375913040305,11.922024816618654,1.4714233139223696,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,AE_table,8608,8608,9000,True,6.647044717756884,14.789343403110106,2.224950189306727,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
1,12,AE_table,6752,6752,9000,True,2.6133249912950736,3.1561204546409254,1.2077030086771747,ok,reverse_kurtosis_sensor_source,256,16,35,1.5,0.5,1,cast_iron,0.4
1,13,AE_table,7760,7760,9000,True,3.2750681710240177,3.487522803892345,1.0648702933101462,ok,reverse_kurtosis_sensor_source,256,16,38,1.5,0.5,1,cast_iron,0.43
1,14,AE_table,7440,7440,9000,True,2.3989328832025323,4.045525034259588,1.686385251785988,ok,reverse_kurtosis_sensor_source,256,16,41,1.5,0.5,1,cast_iron,0.45
