case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,smcAC,7856,7856,9000,True,1.1812208423072743,2.371149975615893,2.0073722801767984,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,smcAC,9000,9000,9000,False,0.9303178142702195,2.2570240133713395,2.4260784634559682,no_exit,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,smcAC,9000,9000,9000,False,0.7925493172944856,2.3977693096832744,3.0253881460244174,no_exit,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,smcAC,9000,9000,9000,False,0.8171866324519707,2.6154023780073152,3.2004957914680716,no_exit,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,smcAC,9000,9000,9000,False,0.9959064357693397,2.925406927657411,2.9374314921426654,no_exit,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,smcAC,9000,9000,9000,False,0.7880125268569672,1.5506389918230408,1.9677846975441677,no_exit,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,smcAC,9000,9000,9000,False,0.8344781370010897,1.7920300073206485,2.1474858691444347,no_exit,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,smcAC,9000,9000,9000,False,0.725775877416565,1.0623809239523327,1.46378648975384,no_exit,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,smcAC,9000,9000,9000,False,0.7721974493136082,1.1328728688309528,1.4670766781697737,no_exit,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,smcAC,9000,9000,9000,False,0.9906492998895818,1.6662719778296458,1.6819998540496404,no_exit,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,smcAC,9000,9000,9000,False,0.8460333169133879,0.835038566471237,0.9870043528745305,no_exit,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
