case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,vib_spindle,9000,9000,9000,False,0.5463287446919028,1.5352041665601182,2.8100373291274217,no_exit,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,vib_spindle,8384,8384,9000,True,1.1227980688154142,2.907947399560753,2.589911294225508,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,vib_spindle,8320,8320,9000,True,1.4837504864011124,2.468207470275435,1.663492273731733,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,vib_spindle,8320,8320,9000,True,3.639894138735846,4.067891825631142,1.1175852018158696,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,vib_spindle,8464,8464,9000,True,1.5840822006501911,2.7857602063720286,1.7585957377887467,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,vib_spindle,9000,9000,9000,False,0.9634256798419999,13.70806011088813,14.228456224184583,no_exit,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,vib_spindle,9000,9000,9000,False,0.8094535089161287,2.2715965369050486,2.8063335471186526,no_exit,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,vib_spindle,7904,7904,9000,True,2.2235890015309825,70.9116124179279,31.890611245649133,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,vib_spindle,7968,7968,9000,True,12.880451849876167,168.11942644356807,13.052292606114706,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,vib_spindle,7440,7440,9000,True,3.07302647948391,5.064370421475563,1.6480074139559677,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,vib_spindle,8368,8368,9000,True,6.44151954566407,41.77364507497351,6.485060672226918,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
1,12,vib_spindle,9000,9000,9000,False,0.954529349994661,1.6501116057911651,1.728717514866819,no_exit,reverse_kurtosis_sensor_source,256,16,35,1.5,0.5,1,cast_iron,0.4
1,13,vib_spindle,9000,9000,9000,False,0.9978506344401602,0.9792457836782282,0.9813550744762838,no_exit,reverse_kurtosis_sensor_source,256,16,38,1.5,0.5,1,cast_iron,0.43
1,14,vib_spindle,7472,7472,9000,True,1.0356002773660777,1.898131634897558,1.8328805779428599,ok,reverse_kurtosis_sensor_source,256,16,41,1.5,0.5,1,cast_iron,0.45
1,15,vib_spindle,9000,9000,9000,False,0.2863555221643151,1.0928271216111727,3.816329831361889,no_exit,reverse_kurtosis_sensor_source,256,16,44,1.5,0.5,1,cast_iron,0.5
1,16,vib_spindle,9000,9000,9000,False,0.6815155367057295,0.700352503436288,1.0276398199532324,no_exit,reverse_kurtosis_sensor_source,256,16,46,1.5,0.5,1,cast_iron,
1,17,vib_spindle,9000,9000,9000,False,0.8315961737455544,0.8875837631558693,1.067325453359546,no_exit,reverse_kurtosis_sensor_source,256,16,48,1.5,0.5,1,cast_iron,0.44
2,1,vib_spindle,9000,9000,9000,False,0.0,0.0,0.0,threshold_exceeded,reverse_kurtosis_sensor_source,256,16,3,0.75,0.5,1,cast_iron,0.08
2,2,vib_spindle,8384,8384,9000,True,1.348936423734704,2.2884771103586803,1.6965047945116556,ok,reverse_kurtosis_sensor_source,256,16,9,0.75,0.5,1,cast_iron,0.14
2,3,vib_spindle,7984,7984,9000,True,2.307911327743478,3.1024609126432923,1.3442721457042996,ok,reverse_kurtosis_sensor_source,256,16,12,0.75,0.5,1,cast_iron,0.14
2,4,vib_spindle,8464,8464,9000,True,1.0838202525928449,1.5432444730791217,1.423893371051245,ok,reverse_kurtosis_sensor_source,256,16,15,0.75,0.5,1,cast_iron,0.14
2,5,vib_spindle,7584,7584,9000,True,8.272223983055067,101.80376127691083,12.30669787054107,ok,reverse_kurtosis_sensor_source,256,16,22,0.75,0.5,1,cast_iron,0.15
2,6,vib_spindle,8544,8544,9000,True,7.466450639142016,118.07124940714516,15.813571282205046,ok,reverse_kurtosis_sensor_source,256,16,24,0.75,0.5,1,cast_iron,
2,7,vib_spindle,7696,7696,9000,True,9.94504461027959,103.02578109730932,10.359509196249142,ok,reverse_kurtosis_sensor_source,256,16,27,0.75,0.5,1,cast_iron,0.18
2,8,vib_spindle,8608,8608,9000,True,2.4567299674836764,30.956932450147892,12.600868984332577,ok,reverse_kurtosis_sensor_source,256,16,33,0.75,0.5,1,cast_iron,0.22
2,9,vib_spindle,7760,7760,9000,True,8.859442872677484,50.051003164009494,5.64945266686666,ok,reverse_kurtosis_sensor_source,256,16,39,0.75,0.5,1,cast_iron,0.26
2,10,vib_spindle,9000,9000,9000,False,0.3025578177063378,1.5512961517608126,5.127271750968921,no_exit,reverse_kurtosis_sensor_source,256,16,45,0.75,0.5,1,cast_iron,0.31
2,11,vib_spindle,9000,9000,9000,False,0.3704565947004,1.8118522154445384,4.890862361107299,no_exit,reverse_kurtosis_sensor_source,256,16,51,0.75,0.5,1,cast_iron,0.38
2,12,vib_spindle,8464,8464,9000,True,36.199575552860104,274.7084860457142,7.588721189411114,ok,reverse_kurtosis_sensor_source,256,16,59,0.75,0.5,1,cast_iron,0.43
2,13,vib_spindle,6288,6288,9000,True,3.6505901763645965,4.857697035663578,1.3306607427781487,ok,reverse_kurtosis_sensor_source,256,16,66,0.75,0.5,1,cast_iron,0.48
2,14,vib_spindle,8320,8320,9000,True,1.5826480072337543,2.0714563234607706,1.308854725745241,ok,reverse_kurtosis_sensor_source,256,16,72,0.75,0.5,1,cast_iron,0.55
3,1,vib_spindle,8544,8544,9000,True,3.042780396892698,3.7381406529300056,1.2285279137279739,ok,reverse_kurtosis_sensor_source,256,16,0,0.75,0.25,1,cast_iron,0.0
3,2,vib_spindle,8560,8560,9000,True,2.520773495527388,3.005441150703727,1.1922694189040643,ok,reverse_kurtosis_sensor_source,256,16,3,0.75,0.25,1,cast_iron,0.13
3,3,vib_spindle,7616,7616,9000,True,2.657702259501316,2.801396040362921,1.0540669220358452,ok,reverse_kurtosis_sensor_source,256,16,9,0.75,0.25,1,cast_iron,0.13
3,5,vib_spindle,8064,8064,9000,True,2.932145469387661,3.175469625522611,1.0829850219480526,ok,reverse_kurtosis_sensor_source,256,16,21,0.75,0.25,1,cast_iron,0.17
3,6,vib_spindle,6592,6592,9000,True,1.5066506242698194,1.8133584554815705,1.203569312134913,ok,reverse_kurtosis_sensor_source,256,16,27,0.75,0.25,1,cast_iron,0.19
3,7,vib_spindle,8032,8032,9000,True,2.324599163329755,3.3262959414765674,1.4309116143316756,ok,reverse_kurtosis_sensor_source,256,16,33,0.75,0.25,1,cast_iron,0.2
3,8,vib_spindle,9000,9000,9000,False,0.5686123948601919,2.6114088276262115,4.5925991962727535,no_exit,reverse_kurtosis_sensor_source,256,16,39,0.75,0.25,1,cast_iron,0.23
3,9,vib_spindle,7184,7184,9000,True,2.1849843506875906,5.525024395663046,2.528633394523945,ok,reverse_kurtosis_sensor_source,256,16,45,0.75,0.25,1,cast_iron,0.23
3,10,vib_spindle,7568,7568,9000,True,2.7022319490906916,3.7738548360360173,1.3965695421901985,ok,reverse_kurtosis_sensor_source,256,16,51,0.75,0.25,1,cast_iron,0.26
3,11,vib_spindle,9000,9000,9000,False,0.589403189849861,1.9378801816329139,3.2878684998735106,no_exit,reverse_kurtosis_sensor_source,256,16,57,0.75,0.25,1,cast_iron,0.28
3,12,vib_spindle,6640,6640,9000,True,2.0813926834711793,3.0711360385895485,1.4755197627896304,ok,reverse_kurtosis_sensor_source,256,16,63,0.75,0.25,1,cast_iron,0.33
3,14,vib_spindle,6816,6816,9000,True,1.3263424747215316,3.3636473824755218,2.5360323193905105,ok,reverse_kurtosis_sensor_source,256,16,69,0.75,0.25,1,cast_iron,0.36
3,15,vib_spindle,5952,5952,9000,True,1.487715128543584,2.581725412128971,1.7353627469358959,ok,reverse_kurtosis_sensor_source,256,16,75,0.75,0.25,1,cast_iron,0.44
3,16,vib_spindle,7344,7344,9000,True,2.1792397399421573,2.7365175169268987,1.2557211888019966,ok,reverse_kurtosis_sensor_source,256,16,81,0.75,0.25,1,cast_iron,0.55
4,1,vib_spindle,6416,6416,9000,True,1.7474238719539414,1.9749734543467674,1.1302200262015627,ok,reverse_kurtosis_sensor_source,256,16,3,1.5,0.25,1,cast_iron,0.08
