case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,AE_table,7728,7728,9000,True,7.545756542822138,2.4129308833364416,0.31977322215943793,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,AE_table,6704,6704,9000,True,4.838040642537476,1.4013328459291117,0.2896488370939556,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,AE_table,5744,5744,9000,True,13.369892837470925,4.816942701911542,0.3602828205472255,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,AE_table,7280,7280,9000,True,11.745229944639798,3.9999528623359333,0.3405597745789266,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,AE_table,5552,5552,9000,True,17.27972479952528,5.094513087793305,0.29482605463230444,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,AE_table,7136,7136,9000,True,4.946661062049392,1.6900377645635951,0.3416522262914996,ok,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,AE_table,7200,7200,9000,True,10.154967631205114,3.6393446781849126,0.3583807265905453,ok,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,AE_table,7760,7760,9000,True,6.50160543118042,2.0413956615488673,0.313983320450705,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,AE_table,8592,8592,9000,True,5.5244497527512415,2.8682724470885175,0.5191960422220439,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,AE_table,8512,8512,9000,True,41.71387067152419,11.922024816618654,0.28580480844026457,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,AE_table,8608,8608,9000,True,45.55737338463744,14.789343403110106,0.32463116954086113,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
1,12,AE_table,6752,6752,9000,True,11.14164150958748,3.1561204546409254,0.2832724829562964,ok,reverse_kurtosis_sensor_source,256,16,35,1.5,0.5,1,cast_iron,0.4
1,13,AE_table,7760,7760,9000,True,10.980592754906281,3.487522803892345,0.31760788162579756,ok,reverse_kurtosis_sensor_source,256,16,38,1.5,0.5,1,cast_iron,0.43
1,14,AE_table,7440,7440,9000,True,12.002950279851602,4.045525034259588,0.33704422162261943,ok,reverse_kurtosis_sensor_source,256,16,41,1.5,0.5,1,cast_iron,0.45
1,15,AE_table,6496,6496,9000,True,4.743084480172887,1.6676811381308003,0.35160266385667877,ok,reverse_kurtosis_sensor_source,256,16,44,1.5,0.5,1,cast_iron,0.5
