case,run,idx_noload_end,idx_start,idx_end,index_fixed,signal_length,status,note,time,DOC,feed,material_name,updated_at,idx_exit_start,has_exit,exit_confidence,idx_end_peng,exit_source
1,1,1286,2639,7824,7639,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",2,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7824,True,2.94149989148273,7639,reverse_kurtosis_AE_spindle
1,2,1209,2554,7968,7554,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",4,1.5,0.5,cast_iron,2026-06-08T20:13:39.635360+09:00,7968,True,4.4784376309248035,7554,reverse_kurtosis_AE_spindle
1,3,953,2295,8000,7295,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",6,1.5,0.5,cast_iron,2026-06-08T20:13:40.041038+09:00,8000,True,8.90457654263742,7295,reverse_kurtosis_AE_spindle
1,4,760,2224,5968,7224,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",7,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,5968,True,5.126621946920035,7224,reverse_kurtosis_AE_spindle
1,5,1112,2496,7712,7496,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",11,1.5,0.5,cast_iron,2026-06-08T20:13:40.439917+09:00,7712,True,6.880649752481174,7496,reverse_kurtosis_AE_spindle
1,6,1004,2448,7472,7448,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",15,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7472,True,1.6463390000858422,7448,reverse_kurtosis_AE_spindle
1,7,902,2375,7344,7375,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",19,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7344,True,3.6499509735123126,7375,reverse_kurtosis_AE_spindle
1,8,944,2165,7568,7165,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",22,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7568,True,7.292183717091205,7165,reverse_kurtosis_AE_spindle
1,9,903,2060,7472,7060,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",26,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7472,True,3.1238618077096665,7060,reverse_kurtosis_AE_spindle
1,10,645,1689,8544,6689,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",29,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8544,True,31.968347911790055,6689,reverse_kurtosis_AE_spindle
1,11,854,1691,7472,6691,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",32,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7472,True,19.80960210874216,6691,reverse_kurtosis_AE_spindle
1,12,1316,2119,7760,7119,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",35,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7760,True,3.089860157605403,7119,reverse_kurtosis_AE_spindle
1,13,1078,1810,7536,6810,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",38,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7536,True,4.833887190993276,6810,reverse_kurtosis_AE_spindle
1,14,1046,1769,7456,6769,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",41,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7456,True,5.239761818517785,6769,reverse_kurtosis_AE_spindle
1,15,956,1604,7936,6604,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",44,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7936,True,4.349156272800948,6604,reverse_kurtosis_AE_spindle
1,16,880,1580,7472,6580,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",46,1.5,0.5,cast_iron,2026-06-08T20:13:40.861079+09:00,7472,True,7.483369496088237,6580,reverse_kurtosis_AE_spindle
1,17,689,1317,7072,6317,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",48,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7072,True,6.554789927805767,6317,reverse_kurtosis_AE_spindle
2,2,912,2385,6192,7385,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=4.5,target_length=5000,merge_gap=32,fallback=False)",9,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,6192,True,3.057251066263931,7385,reverse_kurtosis_AE_spindle
2,3,459,1938,7728,6938,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=3.0,target_length=5000,merge_gap=32,fallback=False)",12,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7728,True,6.1218284569889905,6938,reverse_kurtosis_AE_spindle
2,4,1067,2489,7616,7489,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=3.5,target_length=5000,merge_gap=32,fallback=False)",15,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7616,True,8.361265536925856,7489,reverse_kurtosis_AE_spindle
2,5,932,2354,7328,7354,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",22,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7328,True,6.642664133362471,7354,reverse_kurtosis_AE_spindle
2,6,840,2249,7072,7249,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",24,0.75,0.5,cast_iron,2026-06-08T20:13:41.286691+09:00,7072,True,1.4614948561606687,7249,reverse_kurtosis_AE_spindle
2,7,848,2165,5872,7165,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",27,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,5872,True,4.811797572547693,7165,reverse_kurtosis_AE_spindle
2,8,835,2270,6304,7270,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",33,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,6304,True,3.968901473231768,7270,reverse_kurtosis_AE_spindle
2,9,757,2225,8576,7225,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=None,target_length=5000,merge_gap=32,fallback=rolling_std)",39,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8576,True,4.5832171641034956,7225,reverse_kurtosis_AE_spindle
2,10,1813,3285,8240,8285,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=5.0,target_length=5000,merge_gap=32,fallback=False)",45,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8240,True,4.613383106791752,8285,reverse_kurtosis_AE_spindle
2,11,911,2344,7456,7344,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=4.5,target_length=5000,merge_gap=32,fallback=False)",51,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7456,True,5.283239781062898,7344,reverse_kurtosis_AE_spindle
2,12,710,2204,7568,7204,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=None,target_length=5000,merge_gap=32,fallback=rolling_std)",59,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7568,True,11.226061367825816,7204,reverse_kurtosis_AE_spindle
2,13,796,2270,8512,7270,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=None,target_length=5000,merge_gap=32,fallback=rolling_std)",66,0.75,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,8512,True,4.53688120092513,7270,reverse_kurtosis_AE_spindle
