case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,AE_spindle,7824,7824,9000,True,2.94149989148273,1.2694596484591638,0.43156882382760253,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,AE_spindle,7968,7968,9000,True,4.4784376309248035,2.3629984012226126,0.5276390107346816,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,AE_spindle,8000,8000,9000,True,8.90457654263742,4.228691906420195,0.47488972509396915,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,AE_spindle,5968,5968,9000,True,5.126621946920035,2.4792502812585835,0.4836031029639191,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,AE_spindle,7712,7712,9000,True,6.880649752481174,4.768986897493779,0.6931012432026776,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,AE_spindle,7472,7472,9000,True,1.6463390000858422,1.0590897764395701,0.643299937851622,ok,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,AE_spindle,7344,7344,9000,True,3.6499509735123126,2.2429600809864905,0.614517865379562,ok,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,AE_spindle,7568,7568,9000,True,7.292183717091205,4.4647854557066955,0.6122700179967999,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,AE_spindle,7472,7472,9000,True,3.1238618077096665,2.274338220510186,0.7280534032888437,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,AE_spindle,8544,8544,9000,True,31.968347911790055,22.850572424386414,0.7147874043227321,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,AE_spindle,7472,7472,9000,True,19.80960210874216,19.48254575118316,0.9834900087450785,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
1,12,AE_spindle,7760,7760,9000,True,3.089860157605403,1.71473614875784,0.5549559078051112,ok,reverse_kurtosis_sensor_source,256,16,35,1.5,0.5,1,cast_iron,0.4
1,13,AE_spindle,7536,7536,9000,True,4.833887190993276,3.928993084905827,0.8128019810271279,ok,reverse_kurtosis_sensor_source,256,16,38,1.5,0.5,1,cast_iron,0.43
1,14,AE_spindle,7456,7456,9000,True,5.239761818517785,4.627059345043975,0.8830667319049303,ok,reverse_kurtosis_sensor_source,256,16,41,1.5,0.5,1,cast_iron,0.45
1,15,AE_spindle,7936,7936,9000,True,4.349156272800948,4.116332789684376,0.946466976922175,ok,reverse_kurtosis_sensor_source,256,16,44,1.5,0.5,1,cast_iron,0.5
1,16,AE_spindle,7472,7472,9000,True,7.483369496088237,6.7731947282836575,0.9050995987591832,ok,reverse_kurtosis_sensor_source,256,16,46,1.5,0.5,1,cast_iron,
1,17,AE_spindle,7072,7072,9000,True,6.554789927805767,5.319013107522294,0.8114696528949317,ok,reverse_kurtosis_sensor_source,256,16,48,1.5,0.5,1,cast_iron,0.44
2,1,AE_spindle,9000,9000,9000,False,0.0,0.0,0.0,threshold_exceeded,reverse_kurtosis_sensor_source,256,16,3,0.75,0.5,1,cast_iron,0.08
2,2,AE_spindle,6192,6192,9000,True,3.057251066263931,1.1293382982113596,0.36939664873136957,ok,reverse_kurtosis_sensor_source,256,16,9,0.75,0.5,1,cast_iron,0.14
2,3,AE_spindle,7728,7728,9000,True,6.1218284569889905,2.53496355938796,0.4140860164887167,ok,reverse_kurtosis_sensor_source,256,16,12,0.75,0.5,1,cast_iron,0.14
