case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,smcDC,7520,7520,9000,True,1.5680320753173542,1.7077131809513604,1.089080515527189,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,smcDC,7456,7456,9000,True,3.171879782658331,3.0032480808546316,0.946835405702059,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,smcDC,7280,7280,9000,True,1.7452381217543058,1.9219478232242848,1.1012524877067238,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,smcDC,7008,7008,9000,True,2.999326652219969,2.6761394410335715,0.8922467444650659,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,smcDC,7280,7280,9000,True,3.5089001131531745,3.275725078218231,0.9335475427002349,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,smcDC,7248,7248,9000,True,2.47813075131832,2.302744756250592,0.9292264966338422,ok,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,smcDC,7136,7136,9000,True,6.243838821649374,6.935625962721193,1.1107951631722026,ok,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,smcDC,7216,7216,9000,True,114.29858197874837,5.502515747326929,0.048141592414818565,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,smcDC,7152,7152,9000,True,75.09370062618397,6.100267747042764,0.0812354125059673,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,smcDC,6992,6992,9000,True,226.79516625192147,15.328930609449182,0.06758931798482506,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,smcDC,7104,7104,9000,True,69.13712815359382,3.801472487768595,0.054984529864390286,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
