case,run,sensor,idx_exit_start,idx_end,signal_length,has_exit,exit_confidence,score,threshold,segment_status,method,detection_window,detection_hop,time,DOC,feed,material,material_name,VB
1,1,vib_table,7472,7472,9000,True,1.7314551434390169,0.6420406117611872,0.3708098440738317,ok,reverse_kurtosis_sensor_source,256,16,2,1.5,0.5,1,cast_iron,0.0
1,2,vib_table,7456,7456,9000,True,1.9670434974599083,1.1319889351089385,0.5754773275571876,ok,reverse_kurtosis_sensor_source,256,16,4,1.5,0.5,1,cast_iron,
1,3,vib_table,7408,7408,9000,True,1.312611801363035,0.7394879436208008,0.5633713965176859,ok,reverse_kurtosis_sensor_source,256,16,6,1.5,0.5,1,cast_iron,
1,4,vib_table,8576,8576,9000,True,4.798033223948713,2.0947704919679238,0.43658940949124136,ok,reverse_kurtosis_sensor_source,256,16,7,1.5,0.5,1,cast_iron,0.11
1,5,vib_table,7456,7456,9000,True,2.0213237681357614,1.3509422875800028,0.6683453234332354,ok,reverse_kurtosis_sensor_source,256,16,11,1.5,0.5,1,cast_iron,
1,6,vib_table,8560,8560,9000,True,2.0565050523356327,1.5001655268384178,0.7294732999233723,ok,reverse_kurtosis_sensor_source,256,16,15,1.5,0.5,1,cast_iron,0.2
1,7,vib_table,8592,8592,9000,True,2.8241126526346494,1.8725864577904088,0.6630707369412568,ok,reverse_kurtosis_sensor_source,256,16,19,1.5,0.5,1,cast_iron,0.24
1,8,vib_table,8496,8496,9000,True,8.948688972068535,5.102953648956179,0.5702459505381219,ok,reverse_kurtosis_sensor_source,256,16,22,1.5,0.5,1,cast_iron,0.29
1,9,vib_table,8368,8368,9000,True,2.55988835785173,1.7558024739432487,0.6858902532039196,ok,reverse_kurtosis_sensor_source,256,16,26,1.5,0.5,1,cast_iron,0.28
1,10,vib_table,8336,8336,9000,True,13.953836688161328,14.74264763481467,1.0565300400361306,ok,reverse_kurtosis_sensor_source,256,16,29,1.5,0.5,1,cast_iron,0.29
1,11,vib_table,8576,8576,9000,True,2.4274514191059526,2.18073494701253,0.8983639918994888,ok,reverse_kurtosis_sensor_source,256,16,32,1.5,0.5,1,cast_iron,0.38
1,12,vib_table,8576,8576,9000,True,2.063829020117265,1.353249171159048,0.6556982957241748,ok,reverse_kurtosis_sensor_source,256,16,35,1.5,0.5,1,cast_iron,0.4
1,13,vib_table,8576,8576,9000,True,4.112229816125952,3.2858697514237685,0.7990481802680979,ok,reverse_kurtosis_sensor_source,256,16,38,1.5,0.5,1,cast_iron,0.43
1,14,vib_table,8432,8432,9000,True,1.8105735736391895,0.9926615830032838,0.548258075481715,ok,reverse_kurtosis_sensor_source,256,16,41,1.5,0.5,1,cast_iron,0.45
1,15,vib_table,8384,8384,9000,True,2.866278334785809,1.4885345774159648,0.5193265983096975,ok,reverse_kurtosis_sensor_source,256,16,44,1.5,0.5,1,cast_iron,0.5
1,16,vib_table,8528,8528,9000,True,1.3651948940621466,0.3979360108775045,0.29148659477628,ok,reverse_kurtosis_sensor_source,256,16,46,1.5,0.5,1,cast_iron,
