case,run,idx_noload_end,idx_start,idx_end,index_fixed,signal_length,status,note,time,DOC,feed,material_name,updated_at,idx_exit_start,has_exit,exit_confidence,idx_end_peng,exit_source
1,1,1286,2639,7520,7639,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",2,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7520,True,1.0635276977260746,7639,reverse_kurtosis_smcDC
1,2,1209,2554,7456,7554,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",4,1.5,0.5,cast_iron,2026-06-08T20:13:39.635360+09:00,7456,True,1.2553666966216903,7554,reverse_kurtosis_smcDC
1,3,953,2295,7280,7295,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",6,1.5,0.5,cast_iron,2026-06-08T20:13:40.041038+09:00,7280,True,1.1446229911648351,7295,reverse_kurtosis_smcDC
1,4,760,2224,7008,7224,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",7,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7008,True,1.6927826840531732,7224,reverse_kurtosis_smcDC
1,5,1112,2496,7280,7496,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",11,1.5,0.5,cast_iron,2026-06-08T20:13:40.439917+09:00,7280,True,1.7784027381768353,7496,reverse_kurtosis_smcDC
1,6,1004,2448,7248,7448,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",15,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7248,True,1.2017006835095847,7448,reverse_kurtosis_smcDC
1,7,902,2375,7136,7375,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.5,target_length=5000,merge_gap=32,fallback=False)",19,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7136,True,3.021910189807685,7375,reverse_kurtosis_smcDC
1,8,944,2165,7216,7165,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",22,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7216,True,31.95662273593645,7165,reverse_kurtosis_smcDC
1,9,903,2060,7152,7060,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",26,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7152,True,19.350516746996853,7060,reverse_kurtosis_smcDC
1,10,645,1689,6992,6689,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",29,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,6992,True,45.99741508269495,6689,reverse_kurtosis_smcDC
1,11,854,1691,7104,6691,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",32,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7104,True,23.438512601911036,6691,reverse_kurtosis_smcDC
1,12,1316,2119,7680,7119,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",35,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7680,True,38.02649990647331,7119,reverse_kurtosis_smcDC
1,13,1078,1810,7472,6810,9000,labeled,"peng2026_inspired(sensor=smcDC,window=64,hop=1,stat=rms,idle_delta_ratio=0.35,reference=middle,xi=2.0,target_length=5000,merge_gap=32,fallback=False)",38,1.5,0.5,cast_iron,2026-05-28T16:20:56.557221+09:00,7472,True,25.146984361967057,6810,reverse_kurtosis_smcDC
