stage,cell,segment,dropout,epochs,head,hidden,layers,lr,wd,seeds,rmse_mean,rmse_std
A,gru,Full,0.1,120,32,256,3,0.001,0.0001,2,0.09009369275259975,0.0011708953057840699
A,gru,Excl_Exit,0.1,120,32,256,3,0.001,0.0001,2,0.08919629490157466,0.00048170077673537204
A,gru,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,2,0.08397197003079514,0.00022343827996565424
A,gru,Steady,0.1,120,32,256,3,0.001,0.0001,2,0.11833924340819099,0.0025653720760878754
A,gru,Steady_v2,0.1,120,32,256,3,0.001,0.0001,2,0.1193167795191456,0.0025166312962399753
A,lstm,Full,0.1,120,32,256,3,0.001,0.0001,2,0.10231287076109866,0.002573967198099082
A,lstm,Excl_Exit,0.1,120,32,256,3,0.001,0.0001,2,0.10250582259557023,0.0031883972022157467
A,lstm,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,2,0.0986028689895337,0.0033158667776007206
A,lstm,Steady,0.1,120,32,256,3,0.001,0.0001,2,0.1442947985253633,0.0005138874788027936
A,lstm,Steady_v2,0.1,120,32,256,3,0.001,0.0001,2,0.1417021935466072,0.002503167596118072
