scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,80.0,0.0446259917305221,0.9191873984894312,0.0391440528981825,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S3,T2,S3_T2,2026-06-08_201620_H4_S3_T2_entry_steady,1,XGBoost,ML,Raw+Delta+Meta,51,segment,Entry+Steady,100.0,0.048640522492698,0.903993687461152,0.042598087401951,17,0,experiments/executions/H4/S3/T2/2026-06-08_201620_H4_S3_T2_entry_steady/metrics/H4_S3_T2_locv_per_case.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,90.0,0.0512445567004076,0.893438872359088,0.0445480301362626,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S3,T1,S3_T1,2026-06-08_201520_H4_S3_T1_entry_steady_exit,1,XGBoost,ML,Raw+Delta+Meta,51,segment,Entry+Steady+Exit,100.0,0.0519141097440436,0.8906360599321701,0.0405389858957599,17,0,experiments/executions/H4/S3/T1/2026-06-08_201520_H4_S3_T1_entry_steady_exit/metrics/H4_S3_T1_locv_per_case.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,100.0,0.0519141097440436,0.8906360599321701,0.0405389858957599,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,20.0,0.0523243681574644,0.8889007027250061,0.0439605691590729,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,30.0,0.0531049074343743,0.8855613729433305,0.047576773990603,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,1,Ridge,ML,Raw+Delta,48,prefix,-,70.0,0.0555171618861424,0.8749286495698939,0.0470588873823079,17,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,1,feature_gru,DL,Raw+Delta,48,prefix,-,10.0,0.0557449677254519,0.8739001154899597,0.0468627586960792,17,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,1,XGBoost,ML,Raw+Delta+Meta,51,prefix,-,70.0,0.0561876700960983,0.8718893088679238,0.0439840992496294,17,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
