rank,model,task_id,input_length_pct,winning_cases,n_winning_cases,mean_winner_rmse
1,feature_gru,S1_T4,60.0,"11,15",2,0.02452952885978775
2,feature_gru,S1_T4,80.0,"10,14",2,0.0701536518248764
3,XGBoost,S1_T5,100.0,6,1,0.0061564529314637
4,feature_gru,S1_T4,30.0,5,1,0.0256615963804082
5,feature_gru,S1_T4,20.0,7,1,0.0278175351806801
6,Ridge,S1_T7,80.0,16,1,0.0320640214849191
7,XGBoost,S1_T6,90.0,2,1,0.0326730363925696
8,feature_gru,S1_T4,50.0,3,1,0.0398018222513207
9,XGBoost,S1_T1,90.0,4,1,0.040235796215802
10,XGBoost,S3_T4,80.0,1,1,0.0446259917305221
11,SVR,S1_T1,70.0,12,1,0.046852776185107
12,RandomForest,S1_T4,10.0,8,1,0.0519621186416302
13,MLP,S1_T4,100.0,9,1,0.0625624507023235
14,feature_gru,S1_T4,70.0,13,1,0.0969145936194138
