rank,task,scenario,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae
1,S5_T1,S5,feature_gru,DL,Delta+Meta,27,prefix,-,80,0.090773,0.628631,0.073423
2,S1_T4,S1,feature_gru,DL,Delta+Meta,27,prefix,-,80,0.094549,0.623757,0.07552
3,S8_T1,S8,ensemble_avg,hybrid,Delta+Meta,27,prefix,-,80,0.098482,0.701067,0.075496
4,H6S3_T5,H6_S3,feature_gru,DL,Delta_ts+Meta,15,segment,Excl_Exit,100,0.10195,0.504208,0.081444
5,H6S3_T6,H6_S3,feature_gru,DL,Delta_ts+Meta,15,segment,Entry+Steady,100,0.1037,0.460239,0.082985
6,H6S3_T2,H6_S3,feature_gru,DL,Delta+Meta,27,segment,Entry+Steady,100,0.108016,0.370887,0.0869
7,H6S3_T1,H6_S3,feature_gru,DL,Delta+Meta,27,segment,Excl_Exit,100,0.108623,0.338441,0.087495
8,S1_T2,S1,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,80,0.10896,0.492644,0.089931
9,H6S3_T3,H6_S3,feature_gru,DL,Delta+Meta,27,segment,Steady,100,0.10907,0.348438,0.088003
10,S1_T4,S1,SVR,ML,Delta+Meta,27,prefix,-,100,0.109773,0.660737,0.087386
11,S1_T4,S1,XGBoost,ML,Delta+Meta,27,prefix,-,100,0.111153,0.711265,0.081868
12,S1_T7,S1,XGBoost,ML,Delta,24,prefix,-,100,0.111917,0.713312,0.082127
13,S1_T4,S1,feature_gru,DL,Delta+Meta,27,prefix,-,100,0.111976,0.302723,0.089073
14,H6S3_T9,H6_S3,feature_gru,DL,Delta_ts+Meta,15,exit_aware,-,100,0.11235,0.413258,0.091023
15,H6S3_T8,H6_S3,feature_gru,DL,Delta_ts+Meta,15,prefix,-,100,0.112949,0.258171,0.089993
16,H6S3_T4,H6_S3,feature_gru,DL,Delta+Meta,27,segment,Entry+Steady+Exit,100,0.114073,0.215193,0.09116
17,S1_T7,S1,SVR,ML,Delta,24,prefix,-,100,0.114741,0.635523,0.089845
18,S1_T2,S1,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,100,0.114759,0.433091,0.092672
19,S1_T2,S1,SVR,ML,Raw+Delta+Meta,51,prefix,-,100,0.11546,0.613639,0.091217
20,S3_T3,S3,XGBoost,ML,Raw+Delta+Meta,51,segment,Steady,100,0.115577,0.663202,0.08875
21,S3_T4,S3,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,90,0.116109,0.695057,0.089572
22,S1_T1,S1,SVR,ML,Raw+Meta,27,prefix,-,100,0.116142,0.64063,0.094083
23,S1_T2,S1,XGBoost,ML,Raw+Delta+Meta,51,prefix,-,100,0.116742,0.701987,0.088372
24,S3_T4,S3,SVR,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,100,0.116935,0.607489,0.093358
25,S3_T1,S3,SVR,ML,Raw+Delta+Meta,51,segment,Entry+Steady+Exit,100,0.116935,0.607489,0.093358
26,S1_T8,S1,XGBoost,ML,Raw+Delta,48,prefix,-,100,0.11718,0.697639,0.089121
