model,input_length_pct,mean_rmse,mean_r2,mean_mae,task_id,scenario,task,run_id,features,input_strategy,segment,source_file
MLP,10.0,0.2275357410213021,-0.830833400093442,0.183436407383106,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,prefix,-,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/analysis/H4_S1_T4_locv_aggregated.csv
MLP,20.0,0.2088548236967377,-0.1884345200256393,0.1683153497780263,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,prefix,-,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/analysis/H4_S1_T1_locv_aggregated.csv
MLP,30.0,0.1854193634923361,0.0358045059816808,0.1485213054362394,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
MLP,40.0,0.1777001881769027,0.055878681353238,0.14127632622826,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
MLP,50.0,0.1673808896308052,0.1780221559769417,0.1365002912288435,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
MLP,60.0,0.1702384770920957,0.1831994974211516,0.1398066259532127,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
MLP,70.0,0.1656261163762421,0.2078815626346966,0.1353044882883607,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
MLP,80.0,0.189811925715513,-0.2356359710811373,0.1543399235225054,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,prefix,-,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/analysis/H4_S1_T1_locv_aggregated.csv
MLP,90.0,0.1772585136346305,0.0962356821149353,0.1432758287311269,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
MLP,100.0,0.1829258835242126,0.1092093162656335,0.1498173257429562,S1_T8,S1,T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,Raw+Delta,prefix,-,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/analysis/H4_S1_T8_locv_aggregated.csv
