rank,task,scenario,model,model_type,features,n_features,sensor_subset,input_strategy,segment,input_length_pct,rmse,r2,mae,eval_mode,n_seed,note
3,B2_S1_feature_gru_Full_ACvTvS,B2_S1,feature_gru,DL,Delta+Meta,15,AC+vT+vS,segment,Full,100,0.095122,,,observed_vb,5.0,
6,B2_S2_feature_gru_Entry_Steady_ACvTvS,B2_S2,feature_gru,DL,Delta+Meta,15,AC+vT+vS,segment,Entry_Steady,100,0.099127,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
13,B2_S1_feature_gru_Exclude_exit_ACvTvS,B2_S1,feature_gru,DL,Delta+Meta,15,AC+vT+vS,segment,Exclude_exit,100,0.109065,,,observed_vb,5.0,
45,B2_S2_feature_gru_Entry_ACvTvS,B2_S2,feature_gru,DL,Delta+Meta,15,AC+vT+vS,segment,Entry,100,0.125959,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
47,B2_S2_feature_gru_Steady_ACvTvS,B2_S2,feature_gru,DL,Delta+Meta,15,AC+vT+vS,segment,Steady,100,0.12745,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
1,B2_S1_feature_lstm_Full_ACvTvS,B2_S1,feature_lstm,DL,Delta+Meta,15,AC+vT+vS,segment,Full,100,0.092217,,,observed_vb,5.0,
2,B2_S2_feature_lstm_Entry_Steady_ACvTvS,B2_S2,feature_lstm,DL,Delta+Meta,15,AC+vT+vS,segment,Entry_Steady,100,0.094312,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
5,B2_S1_feature_lstm_Exclude_exit_ACvTvS,B2_S1,feature_lstm,DL,Delta+Meta,15,AC+vT+vS,segment,Exclude_exit,100,0.097715,,,observed_vb,5.0,
59,B2_S2_feature_lstm_Entry_ACvTvS,B2_S2,feature_lstm,DL,Delta+Meta,15,AC+vT+vS,segment,Entry,100,0.130202,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
61,B2_S2_feature_lstm_Steady_ACvTvS,B2_S2,feature_lstm,DL,Delta+Meta,15,AC+vT+vS,segment,Steady,100,0.133031,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
38,B2_S2_RandomForest_Steady_ACvTvS,B2_S2,RandomForest,ML,Delta+Meta,15,AC+vT+vS,segment,Steady,100,0.119961,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
40,B2_S1_RandomForest_Exclude_exit_ACvTvS,B2_S1,RandomForest,ML,Delta+Meta,15,AC+vT+vS,segment,Exclude_exit,100,0.124424,,,observed_vb,5.0,
46,B2_S2_RandomForest_Entry_Steady_ACvTvS,B2_S2,RandomForest,ML,Delta+Meta,15,AC+vT+vS,segment,Entry_Steady,100,0.127416,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
49,B2_S1_RandomForest_Full_ACvTvS,B2_S1,RandomForest,ML,Delta+Meta,15,AC+vT+vS,segment,Full,100,0.127747,,,observed_vb,5.0,
73,B2_S2_RandomForest_Entry_ACvTvS,B2_S2,RandomForest,ML,Delta+Meta,15,AC+vT+vS,segment,Entry,100,0.177362,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
9,B2_S1_XGBoost_Exclude_exit_ACvTvS,B2_S1,XGBoost,ML,Delta+Meta,15,AC+vT+vS,segment,Exclude_exit,100,0.108016,,,observed_vb,1.0,
11,B2_S2_XGBoost_Steady_ACvTvS,B2_S2,XGBoost,ML,Delta+Meta,15,AC+vT+vS,segment,Steady,100,0.108355,,,observed_vb,1.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
18,B2_S2_XGBoost_Entry_Steady_ACvTvS,B2_S2,XGBoost,ML,Delta+Meta,15,AC+vT+vS,segment,Entry_Steady,100,0.110992,,,observed_vb,1.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
22,B2_S1_XGBoost_Full_ACvTvS,B2_S1,XGBoost,ML,Delta+Meta,15,AC+vT+vS,segment,Full,100,0.113742,,,observed_vb,1.0,
72,B2_S2_XGBoost_Entry_ACvTvS,B2_S2,XGBoost,ML,Delta+Meta,15,AC+vT+vS,segment,Entry,100,0.166931,,,observed_vb,1.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
4,B1_S1_CarryForward,B1_S1,CarryForward,Naive,-,0,all_6,segment,Full,100,0.096361,,,observed_vb,1.0,
7,H6S3_T5,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,segment,Excl_Exit,100,0.10195,0.504208,0.081444,all_vb,,
8,H6S3_T6,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,segment,Entry+Steady,100,0.1037,0.460239,0.082985,all_vb,,
9,H6S3_T2,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Entry+Steady,100,0.108016,0.370887,0.0869,all_vb,,
12,H6S3_T1,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Excl_Exit,100,0.108623,0.338441,0.087495,all_vb,,
14,H6S3_T3,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Steady,100,0.10907,0.348438,0.088003,all_vb,,
15,B2_S2_feature_gru_Entry_all6,B2_S2,feature_gru,DL,Delta+Meta,27,all_6,segment,Entry,100,0.1093,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
20,H6S3_T9,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,exit_aware,-,100,0.11235,0.413258,0.091023,all_vb,,
23,H6S3_T4,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Entry+Steady+Exit,100,0.114073,0.215193,0.09116,all_vb,,
27,B2_S1_feature_gru_Exclude_exit_all6,B2_S1,feature_gru,DL,Delta+Meta,27,all_6,segment,Exclude_exit,100,0.115662,,,observed_vb,5.0,
31,B2_S2_feature_gru_Entry_Steady_all6,B2_S2,feature_gru,DL,Delta+Meta,27,all_6,segment,Entry_Steady,100,0.117211,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
54,S3_T4,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,80,0.128962,0.530889,0.10689,all_vb,,
56,S3_T2,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.129798,0.540118,0.107897,all_vb,,
57,S3_T4,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.12995,0.519249,0.107598,all_vb,,
57,S3_T1,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.12995,0.519249,0.107598,all_vb,,
60,B2_S2_feature_gru_Steady_all6,B2_S2,feature_gru,DL,Delta+Meta,27,all_6,segment,Steady,100,0.130427,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
62,H6S3_T7,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,segment,Steady,100,0.133556,0.069438,0.10703,all_vb,,
66,S3_T3,S3,feature_gru,DL,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.138264,0.429738,0.116972,all_vb,,
16,B2_S1_feature_lstm_Exclude_exit_all6,B2_S1,feature_lstm,DL,Delta+Meta,27,all_6,segment,Exclude_exit,100,0.1097,,,observed_vb,5.0,
24,B2_S2_feature_lstm_Entry_all6,B2_S2,feature_lstm,DL,Delta+Meta,27,all_6,segment,Entry,100,0.114171,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
32,B2_S2_feature_lstm_Entry_Steady_all6,B2_S2,feature_lstm,DL,Delta+Meta,27,all_6,segment,Entry_Steady,100,0.117559,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
50,B2_S2_feature_lstm_Steady_all6,B2_S2,feature_lstm,DL,Delta+Meta,27,all_6,segment,Steady,100,0.128183,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
52,B1_S1_FeatureMLP,B1_S1,FeatureMLP,DL,Delta+Meta,27,all_6,segment,Full,100,0.128668,,,observed_vb,5.0,
75,S3_T4,S3,MLP,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,30,0.18981,-0.044598,0.14971,all_vb,,
76,S3_T4,S3,MLP,DL,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.196412,-0.171757,0.161462,all_vb,,
76,S3_T1,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.196412,-0.171757,0.161462,all_vb,,
78,S3_T2,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.217288,-0.358926,0.180743,all_vb,,
79,S3_T3,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.288073,-2.185054,0.219654,all_vb,,
39,S3_T4,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,60,0.121919,0.663901,0.096211,all_vb,,
