case_rank,scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
1,S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,80.0,0.0446259917305221,0.9191873984894312,0.0391440528981825,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
2,S3,T2,S3_T2,2026-06-08_201620_H4_S3_T2_entry_steady,1,XGBoost,ML,Raw+Delta+Meta,51,segment,Entry+Steady,100.0,0.048640522492698,0.903993687461152,0.042598087401951,17,0,experiments/executions/H4/S3/T2/2026-06-08_201620_H4_S3_T2_entry_steady/metrics/H4_S3_T2_locv_per_case.csv
3,S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,90.0,0.0512445567004076,0.893438872359088,0.0445480301362626,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
4,S3,T1,S3_T1,2026-06-08_201520_H4_S3_T1_entry_steady_exit,1,XGBoost,ML,Raw+Delta+Meta,51,segment,Entry+Steady+Exit,100.0,0.0519141097440436,0.8906360599321701,0.0405389858957599,17,0,experiments/executions/H4/S3/T1/2026-06-08_201520_H4_S3_T1_entry_steady_exit/metrics/H4_S3_T1_locv_per_case.csv
5,S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,1,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,100.0,0.0519141097440436,0.8906360599321701,0.0405389858957599,17,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
1,S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,2,XGBoost,ML,Raw,24,prefix,-,90.0,0.0326730363925696,0.9441604150850782,0.0286795012538249,13,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
2,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,2,XGBoost,ML,Raw+Meta,27,prefix,-,90.0,0.0342115112448485,0.9387779727692186,0.0280026185283294,13,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
3,S1,T3,S1_T3,2026-06-08_165151_H4_S1_T3_locv_target_restricted,2,XGBoost,ML,Raw+Delta+Meta,51,prefix_target_restricted,-,90.0,0.0342115112448485,0.9387779727692186,0.0280026185283294,13,0,experiments/executions/H4/S1/T3/2026-06-08_165151_H4_S1_T3_locv_target_restricted/metrics/H4_S1_T3_shift_metrics.csv
4,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,2,feature_gru,DL,Raw+Delta+Meta,51,prefix_with_case6,-,80.0,0.0346332900450878,0.937259078025818,0.0257458761334419,13,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
5,S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,2,feature_gru,DL,Raw+Delta+Meta,51,prefix_with_case6,-,90.0,0.0350286067291668,0.9358186721801758,0.0285373013466596,13,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
